Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Gira-Sol s/n,600000,5,702
Chalet,Calle Miquel Àngel 11,1375000,4,400
Chalet,Calle Saragossa 13,25000,3,165
Casa Rural,Hostal s/n,521000,2,76
Piso,Calle Llorenç Villalonga s/n,280000,3,109
Chalet,Joaquin Costa Vespella de Gaià s/n,625000,6,660
Chalet,Cigonya s/n,590000,5,171
Chalet,Calle de Pere Badia s/n,1100000,5,633
Chalet,Calle Pau Casals 2,450000,5,185
Chalet,Calle d'Antoni Roig s/n,399000,14,553
Chalet,Dels Pins s/n,750000,4,150
Piso,Calle de les Cuirateries s/n,145500,3,104
Piso,Avenida Roma s/n,460000,3,152
Chalet,Conca de Barbera s/n,485000,4,149
Chalet,Calle Terra Ferma s/n,1480000,6,247
Piso,Calle del General Contreras 12 -4,84900,3,111
Casa Rural,Calle d'en Bosc s/n,980000,17,595
Piso,Calle de Martí Folguera,246000,5,168
Piso,Urbanización Rocas Doradas,140000,2,60
Piso,Calle dels Pescadors,135000,2,76
Chalet,Calle Nardos,349900,5,195
Piso,Calle Pi i Margall,184900,2,64
Piso,Calle de Fuster Valldeperes,299000,4,130
Chalet,Calle de Bonaventura Roig,120000,3,102
Piso,Unio,285000,4,186
Piso,Rambla Nova,290000,4,132
Piso,Calle de Joaquim Serra,80000,1,42
Piso,Calle de l'Oli,208000,3,110
Chalet,Vespella,220000,3,461
Casa Rural,Calle B Ur Calders,870000,11,650
Chalet,Calle de la Punta Roja,810000,4,1500
Chalet,Berà Mar - El Francaset,385000,4,147
Piso,Barri Marítim-Platja de la Paella,179000,3,6
Chalet,Berà Mar - El Francaset,385000,4,147
Piso,Creixell,125000,3,20
Piso,Calle dels Replanells,115000,2,66
Piso,Ramon Llull,129500,3,83
Piso,Part Alta,750000,4,157
Ático,Paseo Marítim de Sant Joan de Déu 55,319000,3,84
Chalet,Roca s/n,399000,4,136
Piso,Calle Lleo,99000,3,60
Chalet,Camino dels Emprius,2050000,4,50.558
Chalet,Calle Teruel,275000,4,240
Casa Rural,Via sense nom,545000,6,000
Chalet,Avenida de Joan Margets,2900000,5,832
Chalet,Els Munts,1150000,4,125
Piso,Calle de Barbastre 8,144000,3,77
Piso,Calle Pirineus 13,66000,2,80
Piso,Avenida Principado de Andorra 8,149000,4,125
Piso,Calle de les Drassanes,360000,3,38
Piso,Calle Pierre Vilar,230000,2,25
Piso,Calle Francesc Bastos,138500,3,73
Piso,Calle ROMANS,165000,2,60
Piso,Calle Riu Besòs,164900,3,95
Chalet,Professor Lluis Icart s/n,300000,3,103
Piso,Calle Castell de Tamarit,185000,2,74
Piso,Calle de Pere Martell,172000,5,166
Piso,Calle de Cristòfor Colom,215000,4,148
Piso,Paseo del Mediterrani,127000,2,79
Chalet,Calle de Donostia,180000,3,98
Chalet,Calle Ginesta,208000,5,188
Piso,Avenida Marqués de Montoliu,283000,4,110
Piso,Avenida Diputacio,116000,1,40
Piso,Calle de Tortosa,95000,2,64
Chalet,salvador dali 13,599000,4,540
