C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Región de Murcia,Murcia,Chalet,barrio Los Dolores,176,5,198000
Región de Murcia,Murcia,Duplex,barrio Espinardo,176,4,125000
Región de Murcia,Murcia,Chalet,barrio El Palmar,988,4,590000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,125,3,340000
Región de Murcia,Murcia,Duplex,barrio Sangonera la Seca,135,4,159000
Región de Murcia,Murcia,Piso,barrio San Benito-Patino,160,3,149900
Región de Murcia,Murcia,Casa Rural,barrio Guadalupe,288,6,439900
Región de Murcia,Murcia,Chalet,barrio El Palmar,2200,6,1100000
Región de Murcia,Murcia,Chalet,barrio Puente Tocinos,70,4,250000
Región de Murcia,Murcia,Piso,barrio Los Dolores,109,3,155000
Región de Murcia,Murcia,Piso,barrio San Miguel,263,6,1290000
Región de Murcia,Murcia,Piso,barrio Casillas,185,5,166000
Región de Murcia,Murcia,Piso,barrio San Lorenzo,70,2,330000
Región de Murcia,Murcia,Chalet,barrio El Esparragal,233,6,550000
Región de Murcia,Murcia,Piso,barrio El Palmar,184,4,290000
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,85,3,125000
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,129,5,295000
Región de Murcia,Murcia,Piso,barrio Santa Maria de Gracia,94,3,195000
Región de Murcia,Murcia,Piso,barrio Zona Juan de Borbon,116,3,310000
Región de Murcia,Murcia,Chalet,Calle Juan Nortes,115,3,120300
Región de Murcia,Murcia,Piso,barrio El Puntal,94,2,199900
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,85,3,125000
Región de Murcia,Murcia,Chalet,Carril DE LOS LEALES 25,463,6,650000
Región de Murcia,Murcia,Piso,Calle Conchita Rosa Escribano,122,3,92000
Región de Murcia,Murcia,Chalet,Calle Pintor Pedro Flores,18,3,152300
Región de Murcia,Murcia,Piso,Avenida Ciudad Sanitaria 3,158,4,332000
Región de Murcia,Murcia,Piso,Calle Riquelme,146,4,431000
Región de Murcia,Murcia,Piso,Calle Adelfas,126,4,114900
Región de Murcia,Murcia,Piso,Calle de la Pena 55,109,3,96000
Región de Murcia,Murcia,Piso,Ronda del Golf 65,60,2,99900
Región de Murcia,Murcia,Piso,Calle Minerva,125,3,79000
Región de Murcia,Murcia,Piso,Avenida Ciudad Sanitaria 3,155,4,381700
Región de Murcia,Murcia,Piso,Calle Adelfas,118,4,109900
Región de Murcia,Murcia,Piso,Calle Adelfas,88,3,105900
