Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Santa Ponça,350000,3,8
Piso,barrio Cas Capiscol,330000,3,130
Ático,barrio Son Armadams,650000,2,107
Chalet,Calvià pueblo,950000,3,114
Chalet,Muro,1350000,3,228
Chalet,Calle de la Malva,980000,4,148
Piso,barrio Coll d'En Rabassa,220000,2,86
Chalet,Calle de Jaume III,1450000,5,180
Piso,INSTITUTS 7,890000,5,200
Chalet,Calle del Safareig,1220000,4,100
Piso,Avenida de Cas Saboners,445000,3,111
Piso,Portixol-Molinar,498000,2,72
Chalet,Calle de l'Ametler,1090000,5,460
Piso,Calle d'Andreu Ferret,750000,3,70
Ático,Avenida de Méxic s/n,750000,3,101
Piso,Cas Catala,1495000,3,98
Ático,Portixol-Molinar,690000,3,73
Chalet,Portixol-Molinar,1290000,4,123
Chalet,barrio Son Xigala,459000,4,8
Piso,Calle del Sol,395000,3,99
Piso,Santa Eulalia del Río,425000,1,110
Piso,Calle Torrenova,558900,3,87
Chalet,Diseminado P 18 N S Jesus,2300000,5,2000
Chalet,Via sense nom,6000000,6,1.000
Chalet,Port d'Andratx,1900000,5,170
Duplex,Can Perot 8,800000,3,120
Chalet,barrio Son Xigala,459000,4,8
Chalet,Muro,540000,5,600
Piso,barrio Son Armadams,490000,3,85
Piso,barrio Pere Garau,700000,5,169
Piso,Plaza de la Porta de Santa Catalina,450000,1,48
Ático,barrio Can Pastilla,670000,3,200
Estudio,Avenida de Joan Miró,550000,0,35
Chalet,Sa Cabaneta,1350000,5,2.448
Piso,Portixol-Molinar,1300000,5,172
Chalet,Son Ramonell - Es Figueral,419000,3,165
Piso,Calle d'Enric Alzamora,2000000,8,333
Chalet,Calle de Ferran Alzamora,2500000,0,23
Piso,Calle de Francesc Pi i Margall,242000,4,148
Chalet,Alaior,1225000,5,168
Piso,Calle del Vicari Antoni Marimon,425000,2,60
Chalet,Santa Ponça,9890000,4,148
Ático,Calle d'Antich,2290000,3,104
Piso,barrio Paseo Marítimo,1000000,3,116
Chalet,Casc Antic s/n,400000,3,115
Chalet,barrio La Llotja,849000,3,112
Chalet,Sa Cabaneta,645000,3,600
Chalet,Es Grau-Sierra Morena,1900000,3,107
Chalet,Calle andrones s/n,670000,5,16
Piso,Maioris-Puig de Ros,388000,3,136
Chalet,barrio Son Xigala,615000,4,212
Chalet,Port d'Andratx,14900000,5,60
Piso,Palmanova,360000,3,113
Chalet,Centro de Ciutadella,390000,4,230
Chalet,barrio Son Cladera - Son Fuster,434000,3,90
Chalet,Diseminado Poligono 11,1495000,4,400
Chalet,Santa Ponça,1250000,4,1.074
Piso,barrio Paseo Marítimo,1000000,2,35
Piso,barrio Paseo Marítimo,210000,2,40
Chalet,Calle 73 2,7900000,6,230
Duplex,Avenida de Joan Miró,549000,2,65
Piso,Fabrica 20,1950000,3,109
Chalet,Calle Ramon de Montcada 37,4500000,5,164
Chalet,Portixol-Molinar,1100000,5,166
Chalet,Calle de sa Murada 4,4300000,8,396
Piso,barrio Paseo Marítimo,210000,2,40
Duplex,Avenida de Joan Miró,549000,2,60
Piso,Carretera de Andraitx 50,2250000,4,155
Chalet,Calle 20 de la Bahía de Sant Antonio,3495000,4,4500
Piso,barrio Foners,525000,5,160
Piso,Benito Jeronimo Feijoo,1395000,3,110
Ático,barrio Sant Jaume,895000,3,40
Chalet,Paseo Ibiza,3200000,7,269
Chalet,Roca Llisa,3500000,5,440
Chalet,Santa Margalida,380000,3,300
Chalet,de la Farigola,3300000,6,330
Piso,barrio Sta Catalina - El Jonquet,1950000,3,115
Chalet,Portixol-Molinar,750000,3,84
Piso,Calle Roger de Llúria,490000,4,120
Ático,Ramon Medel,297000,2,67
Chalet,barrio La Bonanova - Porto Pi,4500000,4,700
Chalet,Marratxinet,750000,4,135
Chalet,Jesus,2550000,4,144
Piso,barrio La Llotja,380000,1,55
Piso,Port d'Andratx,1699000,3,94
Casa Rural,Llucmajor Interior,550000,4,134
Chalet,Badia Blava-Badia Gran-Tolleric,3400000,4,158
Chalet,barrio Son Vida,5950000,5,2.053
Chalet,Cala Vedella - Cala Tarida - Cala Conta,4400000,4,200
Piso,barrio Sant Nicolau,1790000,4,22
Piso,Portals Nous - Bendinat,600000,2,78
Chalet,barrio La Teulera,1150000,4,218
Piso,barrio Son Armadams,519000,4,150
Chalet,barrio Son Ferriol,485000,3,85
Piso,barrio Son Cotoner,1600000,2,18
Ático,barrio Son Armadams,495000,2,80
Piso,barrio Bons Aires,315000,4,121
Piso,Costa de la Calma,530000,3,198
Chalet,Sa Cabaneta,899000,3,114
Chalet,Avet,498500,4,70
Piso,Avenida d'Alexandre Rosselló,398000,3,120
Chalet,barrio La Bonanova - Porto Pi,1760000,4,526
Piso,barrio Sant Nicolau,990000,2,64
Piso,Avenida Pere Mas i Reus,220000,2,74
Ático,barrio La Missio - Mercat,450000,2,68
Piso,Avenida de Picasso,690000,4,150
Chalet,Sa Cabaneta,899000,3,101
Piso,Calle de Joan Alcover,699000,5,175
Chalet,Avenida de Mallorca,2850000,4,410
Piso,Sa Torre,198000,1,49
Chalet,Santanyí,3950000,5,44.000
Chalet,Andratx Pueblo,1575000,5,168
Piso,barrio Coll d'En Rabassa,980000,3,117
Piso,Portals Nous - Bendinat,595000,2,102
Chalet,barrio Son Roca - Son Ximelis - Son Anglada,1700000,6,243
Ático,S'Arenal,440000,3,96
Piso,jose vargas ponce,280000,4,145
Piso,barrio Sant Jaume,695000,3,132
Chalet,Pla de na Tesa,540000,5,62
Piso,barrio Can Pastilla,560000,3,350
Chalet,Centro,342000,4,232
Chalet,Sant Josep,4500000,5,1050
Chalet,Camino de ses Julietes,4500000,5,546
Chalet,Portals Nous - Bendinat,2350000,5,161
Piso,barrio Arxiduc,430000,3,110
Chalet,Cala Vinyes,2395000,4,153
Chalet,Sol de Mallorca,2850000,4,1.271
Chalet,Santa Ponça,4500000,5,152
Chalet,barrio Son Dureta,3500000,9,1.050
Chalet,barrio Son Rapinya - Los Almendros,2390000,8,3636
Chalet,Cala Vinyes,12000000,5,617
Chalet,Cala Llonga-Sa Mesquida,489000,3,90
Chalet,Santa Ponça,4950000,6,962
Piso,barrio Marqués de la Fontsanta,360000,1,79
Ático,Plaza de la Vila,550000,3,135
Chalet,Calle d'Albéniz,1650000,3,239
Piso,Avenida de Jaume III,535000,3,130
Chalet,barrio Son Vida,6900000,5,870
Piso,barrio Hostalets - Son Fortesa Sud,307000,2,10
Piso,barrio La Missio - Mercat,490000,4,130
Chalet,Son Serra de Marina,395000,3,104
Chalet,Costa d'En Blanes,2500000,4,270
Chalet,Son Ramonell - Es Figueral,1200000,6,620
Piso,barrio La Missio - Mercat,595000,4,176
Chalet,Pollença,650000,3,85
Chalet,barrio Son Serra - La Vileta - Son Pereto,615000,4,154
Chalet,Ciutadella,350000,3,89
Casa Rural,S'Illot-Cala Morlanda,1750000,5,5.186
Piso,cerca paseo marítimo,215000,2,69
Ático,barrio Coll d'En Rabassa,299000,3,114
Piso,Portals Nous - Bendinat,625000,4,146
Chalet,Barcarés - Manresa - Bonaire,1365500,4,34
Chalet,Ciutadella,580000,4,133
Chalet,Port d'Alcúdia - Platja d'Alcúdia,2100000,4,260
Piso,Port d'Alcúdia - Platja d'Alcúdia,510000,3,122
Chalet,barrio Genova,2500000,4,134
Piso,Santa Ponça,270000,2,90
Chalet,Santa Ponça,4500000,5,1400
Casa Rural,Es Grau-Sierra Morena,4200000,8,323
Piso,Calle Llevant,283500,3,90
Chalet,barrio Son Dureta,2300000,10,414
Piso,barrio Coll d'En Rabassa,330000,3,124
Piso,Calle Den Cardona,299000,1,70
Piso,barrio La Bonanova - Porto Pi,675000,4,231
Chalet,Badia Blava-Badia Gran-Tolleric,419000,4,400
Chalet,barrio Son Serra - La Vileta - Son Pereto,499000,4,150
Chalet,barrio Establiments - Son Sardina,3550000,7,263
Chalet,barrio Ses Cadenes-Arenal,530000,3,89
Piso,barrio Son Cotoner,312500,3,11
Casa Rural,barrio Son Ferriol,450000,3,164
Ático,Portals Nous - Bendinat,900000,3,85
Chalet,barrio La Bonanova - Porto Pi,2500000,5,1.189
Chalet,Santa Ponça,390000,3,107
Piso,Blanquer,223500,3,109
Chalet,Cala Vinyes,2450000,4,770
Piso,barrio Son Armadams,400000,3,95
Chalet,Portals Nous - Bendinat,2350000,5,164
Casa Rural,barrio Establiments - Son Sardina,11000000,15,2.838
Chalet,Cala Blanca,1450000,4,130
Chalet,Can Picafort,565000,4,141
Chalet,Sa Torre,980000,3,95
Piso,Calle de Cèsar Puget Riquer,430000,3,100
Chalet,Badia Blava-Badia Gran-Tolleric,540000,3,82
Piso,Marratxinet,320000,2,69
Chalet,Alaró,1600000,3,694
Piso,Santanyí,260000,4,134
Ático,barrio Zona Colegios - Son Moix,1200000,4,76
Piso,Sol de Mallorca,850000,4,168
Piso,barrio Son Armadams,680000,3,173
Chalet,Calvià pueblo,950000,4,470
Piso,Portixol-Molinar,2500000,3,180
Chalet,barrio Son Dureta,1050000,4,685
Chalet,El Toro,4500000,4,800
Ático,barrio Foners,1200000,3,90
Piso,barrio Sta Catalina - El Jonquet,520000,2,84
Piso,barrio La Bonanova - Porto Pi,795000,4,190
Ático,barrio La Missio - Mercat,1495000,2,114
Piso,Calle de Milà,225000,2,75
