Provincia,descrip,Precio,Habitaciones,m²
Asturias,Piso,317000,3,66
Asturias,Piso,200000,3,68
Asturias,Piso,398000,2,96
Asturias,Piso,73000,2,219
Asturias,Piso,189000,3,298
Asturias,Piso,305000,4,383
Asturias,Piso,189000,4,66
Asturias,Chalet,395000,9,89
Asturias,Chalet,315000,9,60
Asturias,Chalet,580000,7,60
Asturias,Piso,184900,3,94
Asturias,Piso,80000,3,77
Asturias,Piso,160000,3,100
Asturias,Piso,273000,3,77
Asturias,Piso,126000,2,61
Asturias,Piso,199000,5,68
Asturias,Piso,198000,3,98
Asturias,Ático,250000,2,142
Asturias,Chalet,780000,5,249
Asturias,Piso,165000,2,289
Asturias,Casa Rural,30900,3,353
Asturias,Casa Rural,798000,11,423
Asturias,Chalet,1700000,6,98
Asturias,Piso,315000,2,85
Asturias,Chalet,349900,4,58
Asturias,Piso,109000,3,59
Asturias,Piso,480000,5,205
Asturias,Piso,364900,3,257
Asturias,Chalet,318000,3,374
Asturias,Duplex,294990,4,87
Asturias,Piso,98000,3,60
Asturias,Piso,200000,3,61
Asturias,Piso,155900,2,79
Asturias,Chalet,670000,4,64
Asturias,Piso,330000,3,70
Asturias,Chalet,110000,2,189
Asturias,Chalet,520000,3,208
Asturias,Chalet,800000,5,256
Asturias,Piso,228000,3,354
Asturias,Piso,255000,3,470
Asturias,Piso,95000,3,45
Asturias,Piso,89000,2,114
Asturias,Piso,166000,2,74
Asturias,Chalet,380000,4,107
Asturias,Piso,170000,3,239
Asturias,Piso,156000,3,104
Asturias,Chalet,360000,4,209
Asturias,Chalet,246400,3,289
Asturias,Piso,125000,2,274
Asturias,Chalet,290000,4,70
Asturias,Chalet,95000,4,61
Asturias,Chalet,350000,5,60
Asturias,Piso,155000,1,110
