com. autonoma,provincia,descripción,precio,habitaciones,m²
Islas Baleares,Islas Baleares,Piso,530000,3,195
Islas Baleares,Islas Baleares,Ático,2650000,3,61
Islas Baleares,Islas Baleares,Chalet,2950000,4,298
Islas Baleares,Islas Baleares,Casa Rural,1325000,5,99
Islas Baleares,Islas Baleares,Ático,375000,3,69
Islas Baleares,Islas Baleares,Chalet,780000,3,224
Islas Baleares,Islas Baleares,Chalet,950000,4,118
Islas Baleares,Islas Baleares,Casa Rural,2950000,5,264
Islas Baleares,Islas Baleares,Chalet,489000,3,72
Islas Baleares,Islas Baleares,Chalet,510000,3,275
Islas Baleares,Islas Baleares,Piso,420000,3,71
Islas Baleares,Islas Baleares,Chalet,7900000,6,117
Islas Baleares,Islas Baleares,Piso,199000,2,240
Islas Baleares,Islas Baleares,Chalet,3850000,4,88
Islas Baleares,Islas Baleares,Piso,185000,3,90
Islas Baleares,Islas Baleares,Piso,372550,2,64
Islas Baleares,Islas Baleares,Ático,830000,2,94
Islas Baleares,Islas Baleares,Chalet,4600000,8,61
Islas Baleares,Islas Baleares,Chalet,410000,6,63
Islas Baleares,Islas Baleares,Casa Rural,220000,1,78
Islas Baleares,Islas Baleares,Chalet,3000000,3,142
Islas Baleares,Islas Baleares,Piso,1300000,5,275
Islas Baleares,Islas Baleares,Chalet,439000,3,324
Islas Baleares,Islas Baleares,Casa Rural,690000,5,203
Islas Baleares,Islas Baleares,Piso,339000,2,79
Islas Baleares,Islas Baleares,Chalet,3500000,9,116
Islas Baleares,Islas Baleares,Piso,695000,2,99
Islas Baleares,Islas Baleares,Chalet,1140000,3,75
Islas Baleares,Islas Baleares,Chalet,5900000,6,226
Islas Baleares,Islas Baleares,Chalet,374000,5,299
Islas Baleares,Islas Baleares,Piso,495000,3,54
Islas Baleares,Islas Baleares,Chalet,1160000,4,78
Islas Baleares,Islas Baleares,Duplex,290000,3,134
Islas Baleares,Islas Baleares,Chalet,2395000,4,201
Islas Baleares,Islas Baleares,Piso,895000,2,96
Islas Baleares,Islas Baleares,Casa Rural,550000,4,84
Islas Baleares,Islas Baleares,Piso,790000,3,408
Islas Baleares,Islas Baleares,Piso,260000,4,93
Islas Baleares,Islas Baleares,Chalet,798000,4,72
Islas Baleares,Islas Baleares,Casa Rural,6950000,12,279
Islas Baleares,Islas Baleares,Chalet,740000,3,96
Islas Baleares,Islas Baleares,Chalet,650000,4,224
Islas Baleares,Islas Baleares,Chalet,980000,3,182
Islas Baleares,Islas Baleares,Chalet,2900000,5,151
Islas Baleares,Islas Baleares,Estudio,198000,0,91
Islas Baleares,Islas Baleares,Casa Rural,3495000,5,68
Islas Baleares,Islas Baleares,Ático,2290000,3,113
Islas Baleares,Islas Baleares,Chalet,12000000,6,77
Islas Baleares,Islas Baleares,Piso,595000,4,269
Islas Baleares,Islas Baleares,Piso,445000,3,229
Islas Baleares,Islas Baleares,Chalet,495000,3,60
