Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle Feria,250000,4
Piso,Avenida de Manuel Clavero Arévalo esquina con la calle Ajenjo s/n,205000,3
Piso,Avenida de Manuel Clavero Arévalo esquina con la calle Ajenjo s/n,288000,4
Piso,Calle Columbretes s/n,177000,2
Piso,Calle Columbretes s/n,205000,3
Piso,Calle Columbretes s/n,242000,4
Chalet,Calle Arroyo de la Cigueña,90000,4
Piso,barrio San Julián,495000,6
Chalet,Calle Real,976000,5
Chalet,Calle Otero,650000,5
Chalet,Pozo Berrueco,283080,6
Chalet,Calle Arroyo Río Pudio,590000,4
Chalet,Calle Manuel Bonilla Santana 24,230000,4
Piso,Avenida del Conocimiento,240000,3
Chalet,Calle Gines,129000,3
Piso,Glorieta Doña María de las Mercedes de Borbón y Orleans 1,406000,2
Piso,Avenida  José Rodríguez de la Borbolla Camoyán s/n,189900,3
Piso,Avenida  José Rodríguez de la Borbolla Camoyán s/n,157400,2
Piso,Calle Rayo de Luna,160000,3
Chalet,Avenida Gernika,229900,4
Piso,Avenida  José Rodríguez de la Borbolla Camoyán s/n,149500,2
Piso,Calle Juan Díaz de Solís,419700,4
Piso,Calle Alcalde Pepe Iglesias,99900,3
Piso,Calle Nuestra Señora de las Mercedes 8,240000,3
Piso,Calle León XIII 89,285000,3
Piso,Calle León XIII 89,180000,1
Piso,Calle Francos,640000,3
Chalet,Urbanizacion la Dehesilla,499500,4
Piso,C. Rubén Darío,360000,4
Piso,Calle Santa Lucía,295000,3
Piso,Calle León XIII 89,242000,2
Chalet,Calle Antonio Ballesteros,838400,4
Piso,Calle Cuna,950000,5
Chalet,lentisco,295000,4
Chalet,Retama,780000,4
Chalet,Calle Triana,374000,5
Piso,Calle Albaida,285000,3
Chalet,Calle La Fragua,189900,3
Chalet,Avenida Gernika,246900,4
Piso,Calle Albaida,285000,3
Piso,Calle Poetisa Mariquita Fuentes  s/n,194500,3
Piso,Avenida Almanzor s/n,178000,2
Piso,Bulevar nuevo Bulevar esquina con Ctra. Almensilla s/n,257000,4
Piso,Avenida Almanzor s/n,149800,2
Ático,Calle Poetisa Mariquita Fuentes  s/n,259000,3
Chalet,El Arenal - La Pólvora,240000,4
Piso,Bulevar nuevo Bulevar esquina con Ctra. Almensilla s/n,179000,2
Piso,Calle Poetisa Mariquita Fuentes  s/n,185500,2
Piso,Avenida Almanzor s/n,288000,4
Piso,Carretera de Carmona 4,245990,2
Piso,Bulevar nuevo Bulevar esquina con Ctra. Almensilla s/n,201600,2
Piso,Brenes,99900,3
Chalet,Calle San Juan De Aznalfarache,185000,3
Piso,Calle Reina Mercedes 5,650000,5
Chalet,Santa Ana,875000,6
Piso,Calle San Pablo,890000,3
Piso,Avenida de la República Argentina,795000,5
Piso,Calle Bécquer,400000,3
Chalet,Calle Guadalbarbo,464900,9
Chalet,Moraima,1235000,7
Piso,Calle Abril s/n,140000,3
Chalet,Calle 14 DE ABRIL 15,239500,3
Chalet,Calle Pascual de Gayangos,420000,4
Chalet,El Arenal - La Pólvora,169900,3
Chalet,Urbanizacion El Jardin,345000,4
Piso,barrio Ramón de Carranza - Madre Rafols,311000,3
Chalet,Nuevo Bulevar,1300000,6
Chalet,Villanueva del Ariscal,65000,4
Piso,barrio Plaza de la Gavidia-San Lorenzo,283000,3
Chalet,Gines,360000,6
Chalet,barrio El Porvenir,1800000,5
Chalet,Cavaleri,189950,4
Piso,Calle Doctor Antonio Cortés Lladó,419900,3
Piso,Centro - Doña Mercedes,75000,1
Piso,barrio Encarnación-Las Setas,875000,2
Piso,barrio San Julián,255000,3
Chalet,Centro - Doña Mercedes,275000,4
Piso,Ramón Carande,420000,4
Chalet,barrio Avenida de las Ciencias,369900,5
Chalet,barrio Avenida de las Ciencias,369900,5
Chalet,Calle Jazmin & el prior s/n,214900,4
Chalet,Calle Jazmin & el prior s/n,205900,4
Chalet,Calle Jazmin & el prior s/n,207400,4
Piso,Coria del Río,94000,2
Chalet,Coria del Río,187000,4
Piso,Calle Camelia 2,95000,2
Duplex,Calle Florencio Quintero,243000,2
Chalet,Arco norte - Avda España,225000,4
Piso,Calle Santa María de Ordás,160000,3
Chalet,Avenida tarazona 25,189900,3
Chalet,Calle Ópera Carmen,995000,6
Chalet,Calle Santa Angela de La Cruz,70000,6
Chalet,Calle Robalo,205000,8
Chalet,Las Almenas,599999,5
Piso,Calle Hermanas Mirabal,234000,3
Chalet,Gines,330000,3
Piso,El Arenal - La Pólvora,175000,3
Piso,Calle Fuenteovejuna,490000,3
Piso,Centro - Doña Mercedes,118000,2
Chalet,Calle San Bernardo,790000,6
Chalet,Calle Isaac Peral,590000,3
Piso,Aznalcazar,128000,2
Chalet,Vía,499000,5
Chalet,Castilleja de la Cuesta,631000,5
Chalet,Marchena,412000,3
Chalet,Espartinas Pueblo,469500,5
Piso,barrio Pino Montano,127260,3
Chalet,Gelves,390000,5
Chalet,Loreto,325000,4
Chalet,Santa Eufemia,775000,5
Duplex,Vista Azul - Consolación,116900,1
Chalet,El Arenal - La Pólvora,169900,3
Piso,barrio Felipe II - Bueno Monreal,580000,5
Chalet,barrio Nervión,740000,6
Piso,Calle Santa Clara s/n,395000,3
Chalet,barrio Feria,850000,6
Piso,Calle Santa Clara s/n,260000,1
Piso,Nuevo Bulevar,189000,2
Chalet,barrio Gran Plaza - Marqués de Pickman - Ciudad Jardín,600000,5
Piso,Calle Santa Clara s/n,260000,1
Chalet,barrio Feria,850000,6
Piso,Calle Santa Clara s/n,480000,3
Chalet,Palomares del Río,249900,5
Chalet,Calle Fuenteclara,750000,5
Piso,Nuevo Bulevar,277000,3
Duplex,Rocieros de la puebla,140000,3
Piso,Plaza Luis Cernuda,65000,3
Chalet,Palomares del Río,270000,3
Duplex,barrio Alameda,199000,2
Chalet,Palomares del Río,425000,8
Piso,Calle Marqués de Paradas,650000,6
Piso,barrio Santa Cruz - Alfalfa,1150000,5
Chalet,Zona Avenida de Europa,338500,4
Chalet,Sanlúcar la Mayor,850000,5
Chalet,Aznalcazar,499999,4
Chalet,barrio Reina Mercedes - Heliópolis,1050000,9
Chalet,Plaza San Lorenzo,460000,2
Piso,Arco norte - Avda España,139900,4
