"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Cantabria","Piso en Tregadín, Noja","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/102241811/","219,000 €","3 hab. 80 m² Planta 4ª con ascensor","KSA13 inmobiliaria (ref. 2082) ofrece este EXCLUSIVO e inigualable piso con impresionantes vistas al mar y con tres dormitorios. Increíblemente amueblado y decorado con un gusto exquisito y moderno, e","Vistas al mar"
"Cantabria","Piso en calle Escultor José Grajera, Centro, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/100040553/","229,000 €","3 hab. 95 m² Planta 3ª exterior con ascensor","¡Calidad de vida y comodidad en pleno centro de Laredo!.. . Un piso con una ubicación privilegiada, rodeado de todo tipo de servicios y a escasos 5 minutos a pie de la playa Salvé y de la Estación de","Vistas al mar"
"Cantabria","Chalet adosado en avenida de Francia, El Puntal, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/98470412/","310,000 €","4 hab. 200 m²","Chalet adosado con jardín a escasos metros de la playa Salvé Ideal para disfrutar de unas merecidas vacaciones en familia. Rodeado de un precioso entorno costero a solo 2 minutos andando de la playa d",""
"Cantabria","Piso en Zona Playa, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101784551/","195,000 €","2 hab. 55 m² Planta 14ª con ascensor","KSA13 inmobiliaria (ref. 2033) ofrece a la venta esta maravillosa propiedad con inmejorable orientación y una amplia terraza con increíbles vistas despejadas. La vivienda en perfecto estado para entra",""
"Cantabria","Piso en Palacio, Noja","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/100936327/","315,000 €","3 hab. 110 m² con ascensor","KSA13 inmobiliaria (Ref. 1954) ofrece a la venta en EXCLUSIVA este piso de lujo, en una posición privilegiada junto a la playa de Ris. Se trata de un inmueble moderno y elegante, con una superficie de",""
"Cantabria","Piso en avenida Derechos Humanos, Carlos V, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101698751/","149,900 €","2 hab. 60 m² Planta 1ª exterior sin ascensor","Vivienda de 60 m2 con parking comunitario junto a la playa Salvé de Laredo. El inmueble se encuentra ubicado en una residencia privada que cuenta con parking comunitario. Cercano a servicios como cafe",""
"Cantabria","Ático en Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/98487027/","129,900 €","1 hab. 59 m² Planta 3ª exterior sin ascensor","CASTRO URDIALES - MUY CÉNTRICO - ÁTICO Os presentamos esta vivienda completamente reformada de 55m² en el centro de Castro Urdiales, en una ubicación inmejorable cerca del puerto. El edificio se encue",""
"Cantabria","Piso en Zona Playa, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101879223/","126,000 €","2 hab. 60 m² Planta 4ª exterior con ascensor","Inmobiliaria Mipiso te presenta este inmueble en exclusiva. Si estás buscando un lugar cerca de la playa, no busques más porque este es el lugar perfecto para ti. Este hermoso piso de dos habitaciones",""
"Cantabria","Piso en avenida de la Libertad, Zona Playa, Laredo","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/99225182/","195,000 €","3 hab. 90 m² Planta 5ª exterior con ascensor","Piso de tres dormitorios en la zona Ever de Laredo. La vivienda cuenta con 90 m2 y se distribuye en tres amplios dormitorios y dos baños completos, uno de ellos en dormitorio principal, salón comedor",""
"Cantabria","Piso en calle Leonardo Rucabado, Centro, Castro-Urdiales","https://www.idealista.com/venta-viviendas/cantabria/pagina-2.htm/inmueble/101613116/","235,000 €","4 hab. 115 m² Planta 3ª exterior con ascensor","Inmobiliaria ERA vende piso en el centro de Castro a 5 minutos andando del Paseo Marítimo. El inmueble localizado en pleno centro de Castro Urdiales con todos los servicios al alcance, tales como: far",""
